"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Se simula la compra de un producto","18897","Comprar un productos","webkit","Mon Dec 01 23:31:41 UTC 2025","passed","Mon Dec 01 23:32:00 UTC 2025","Flujos Carrito de compra","Prueba de smoking","",""
"Se simula la compra de un producto","18564","Comprar un productos","firefox","Mon Dec 01 23:31:22 UTC 2025","passed","Mon Dec 01 23:31:40 UTC 2025","Flujos Carrito de compra","Prueba de smoking","",""
"Se simula la compra de un producto","18703","Comprar un productos","chromium","Mon Dec 01 23:31:02 UTC 2025","passed","Mon Dec 01 23:31:21 UTC 2025","Flujos Carrito de compra","Prueba de smoking","",""
